lat,lon,name,value
55.9129816,37.5723995,Бургер Кинг,1
59.9306327,30.3179428,Стирка 40°,1
55.7928835,37.4939148,Rostic's,1
59.9593605,30.2884475,КинZa,1
55.8706858,37.6403396,Якитория,1
59.8825338,30.4590614,АМК-Хауз,1
55.7080597,37.6223109,Этаж,1
55.709483,37.6223537,Кофе Хауз,1
59.9127416,30.3447723,Курская 10,1
55.7386974,37.5462158,Шейх Палас,1
60.0172403,30.3202112,Вкусно — и точка,1
55.9330853,37.5134579,SkyGYM,1
59.7477085,30.6082459,Библиотека на Канале,1
55.7599237,37.6302585,Библио-Глобус,1
55.770209,37.5961583,IL Патио,1
59.72276,30.4262173,Флора,1
55.7571978,37.6593319,Курская,1
59.9324091,30.3519213,Ярумэн,1
59.9626282,30.3143399,Плюшки от души,1
55.8703662,37.7095594,de Bassus,1
60.0028052,30.3283422,Евразия,1
60.0484605,30.3306581,Евразия,1
60.0048054,30.3557132,Библиотека имени Д. С. Лихачёва,1
59.9225616,30.4844875,Коллонтай,1
59.9269546,30.3389921,ITMO.Library,1
55.7445693,37.6273469,Punch & Judy,1
55.7748626,37.6718904,Буржуй,1
60.0163125,30.2507077,Токио-City,1
60.0124652,30.3243872,Персе,1
59.9430623,30.3488845,Теремок,1
55.7718109,37.592511,Якитория,1
55.776702,37.583575,Белорусская,1
55.7761384,37.5840675,Белорусская,1
59.9962477,30.3825663,BEERstudia,1
55.6209008,37.6589947,Библиотека №141,1
55.7462434,37.7048567,The Бык,1
55.5664294,37.576132,Якитория,1
55.6486394,37.6564224,Rostic's,1
55.8651596,37.6615003,Шоколадница,1
55.6593653,37.7572323,Вкусно — и точка,1
55.6331469,37.5189769,Коньково,1
55.7089691,37.655433,Марков двор,1
55.7843102,37.4737842,Алло! Пицца,1
55.6382959,37.6668185,Папа Джонс,1
55.7301402,37.5677771,Луч,1
55.6419463,37.606826,Якитория,1
55.7994002,37.4827207,Старбакс,1
55.6880835,37.6046373,Вкусно — и точка,1
59.9238269,30.291775,МаккоЛи,1
55.77306,37.6786196,Шоколадница,1
55.612177,37.5379837,Бургер Кинг,1
59.9040689,30.3287302,Акцент,1
59.7340081,30.420172,Оазис,1
55.8046381,37.5506239,Библиотека № 32 (Филиал №62),1
55.7629899,37.6069219,Му-Му,1
59.916751,30.3389802,Нептун,1
59.9309309,30.3480669,Debaser,1
59.9327849,30.3603186,Maker,1
59.9319701,30.355416,Coffeeshop Company,1
59.9324736,30.3514112,Мама на даче,1
59.9324322,30.3521244,Cafemax,1
59.9338827,30.344449,BISTRO A-STYLE,1
59.9341771,30.3445611,Elephant,1
55.9054401,37.4133818,Рольф Химки Ford,1
55.9056431,37.4130626,Рольф Химки Hyundai,1
55.9060691,37.4123271,Рольф Химки Mitsubishi,1
55.9048419,37.4140229,Рольф Химки Mazda,1
55.7734606,37.586626,Corner,1
59.9514256,30.2972915,Finnegan's Wake,1
59.9510256,30.3025775,Черника,1
59.9498967,30.3063863,Le Menu,1
59.9508284,30.3042669,КайZен,1
59.8545837,30.3895599,Альпийский,1
59.8580911,30.3905356,Евразия,1
59.8752115,30.4442645,Lucky Days,1
55.7395198,37.6373777,Аквамарин,1
55.8101022,37.8072845,Якитория,1
55.750487,38.0077263,Пронто,1
55.6439048,37.5265314,Шоколадница,1
59.9573247,30.2979827,Токио-333,1
55.8882979,37.5883842,Суши Сити,1
55.8882347,37.588384,Subway,1
55.8881083,37.5883835,Hesburger,1
55.8880451,37.5883833,FoodBox,1
59.8500483,30.2812865,The БАР,1
59.9323231,30.2964681,Casa dei caffe,1
55.740574,37.6231375,Кофе Хауз,1
59.9264432,30.295055,Хаочи,1
59.8505017,30.267307,Beer House,1
